away_continent,cnt,cnt_win,cnt_draw,cnt_lose,win_odds,lose_odds,win_rate,lose_rate,home_continent
North America,9,4,2,3,0.4577777777777778,0.911111111111111,0.4444444444444444,0.3333333333333333,Africa
Asia,16,6,5,5,0.739375,1.1356249999999999,0.375,0.3125,Africa
Europe,60,13,13,34,2.2641666666666667,0.6166666666666667,0.21666666666666667,0.5666666666666667,Africa
South America,18,2,3,13,1.9761111111111112,0.6144444444444445,0.1111111111111111,0.7222222222222222,Africa
Oceania,2,0,1,1,1.47,1.325,0.0,0.5,Africa
Africa,16,5,5,6,1.1356249999999999,0.739375,0.3125,0.375,Asia
Europe,41,11,8,22,3.0521951219512196,0.6021951219512195,0.2682926829268293,0.5365853658536586,Asia
South America,14,2,2,10,3.982142857142857,0.6699999999999999,0.14285714285714285,0.7142857142857143,Asia
North America,7,0,1,6,2.5185714285714282,1.3285714285714287,0.0,0.8571428571428571,Asia
Oceania,1,0,0,1,0.0,0.0,0.0,1.0,Asia
Europe,64,49,15,0,0.9478125000000001,1.44125,0.765625,0.0,Europe
Africa,60,34,13,13,0.6166666666666667,2.2641666666666667,0.5666666666666667,0.21666666666666667,Europe
Asia,41,22,8,11,0.6021951219512195,3.0521951219512196,0.5365853658536586,0.2682926829268293,Europe
North America,43,22,15,6,0.5962790697674418,2.5434883720930235,0.5116279069767442,0.13953488372093023,Europe
Oceania,12,6,4,2,0.5099999999999999,2.5833333333333335,0.5,0.16666666666666666,Europe
South America,73,28,16,29,1.316986301369863,0.8275342465753425,0.3835616438356164,0.3972602739726027,Europe
North America,1,1,0,0,0.0,0.0,1.0,0.0,North America
Asia,7,6,1,0,1.3285714285714287,2.5185714285714282,0.8571428571428571,0.0,North America
Africa,9,3,2,4,0.911111111111111,0.4577777777777778,0.3333333333333333,0.4444444444444444,North America
South America,14,2,1,11,2.392857142857143,0.3092857142857143,0.14285714285714285,0.7857142857142857,North America
Europe,43,6,15,22,2.5434883720930235,0.5962790697674418,0.13953488372093023,0.5116279069767442,North America
Asia,1,1,0,0,0.0,0.0,1.0,0.0,Oceania
Africa,2,1,1,0,1.325,1.47,0.5,0.0,Oceania
Europe,12,2,4,6,2.5833333333333335,0.5099999999999999,0.16666666666666666,0.5,Oceania
South America,5,0,1,4,4.87,0.6859999999999999,0.0,0.8,Oceania
Oceania,5,4,1,0,0.6859999999999999,4.87,0.8,0.0,South America
North America,14,11,1,2,0.3092857142857143,2.392857142857143,0.7857142857142857,0.14285714285714285,South America
South America,4,3,1,0,0.0,0.0,0.75,0.0,South America
Africa,18,13,3,2,0.6144444444444445,1.9761111111111112,0.7222222222222222,0.1111111111111111,South America
Asia,14,10,2,2,0.6699999999999999,3.982142857142857,0.7142857142857143,0.14285714285714285,South America
Europe,73,29,16,28,0.8275342465753425,1.316986301369863,0.3972602739726027,0.3835616438356164,South America
